cc,country,distance,force_ping_select,host,https_functional,id,isp_id,lat,lon,name,preferred,sponsor,url
AT,Austria,618,,speed.g.ml-net.at.prod.hosts.ooklaserver.net:8080,1,35566,195567,47.0703,15.4389,Graz,0,Indeno GmbH - Cloud Solutions,http://speed.g.ml-net.at:8080/speedtest/upload.php
US,United States,4418,,speedtest.nemr.net.prod.hosts.ooklaserver.net:8080,1,21258,324373,40.2686,-92.9533,"Green City, MO",0,Northeast Missouri Rural Telephone,http://speedtest.nemr.net:8080/speedtest/upload.php
US,United States,3994,,speedtest29.suddenlink.net.prod.hosts.ooklaserver.net:8080,1,5400,47677,35.6017,-77.3725,"Greenville, NC",0,Optimum Online,http://speedtest29.suddenlink.net:8080/speedtest/upload.php
BY,Belarus,983,,speedtest.grodno.by:8080,1,47043,110605,53.6667,23.8333,Grodno,0,Beltelecom,http://speedtest.grodno.by:8080/speedtest/upload.php
BY,Belarus,983,,speedtest.garant.by.prod.hosts.ooklaserver.net:8080,1,53015,99619,53.6667,23.8333,Grodno,0,Garant,http://speedtest.garant.by:8080/speedtest/upload.php
NL,Netherlands,353,,speedtest.zl.osso.network:8080,1,38957,39938,53.2178,6.5664,Groningen,0,OSSO Network B.V.,http://speedtest.zl.osso.network:8080/speedtest/upload.php
NL,Netherlands,353,,speedtest.cj2.nl.prod.hosts.ooklaserver.net:8080,1,3200,102007,53.2178,6.5664,Groningen,0,CJ2 Hosting B.V.,http://speedtest.cj2.nl:8080/speedtest/upload.php
NL,Netherlands,353,,speed.laurensk.nl.prod.hosts.ooklaserver.net:8080,1,73997,94681,53.2178,6.5664,Groningen,0,LaurensK,http://speed.laurensk.nl:8080/speedtest/upload.php
IT,Italy,595,,srv-st07.arcolink.it.prod.hosts.ooklaserver.net:8080,1,29947,217743,42.7667,11.1000,Grosseto,0,Arcolink TLC,http://srv-st07.arcolink.it:8080/speedtest/upload.php
PL,Poland,778,,speedtest.tvksm.pl.prod.hosts.ooklaserver.net:8080,1,40180,54370,53.4833,18.7667,Grudziadz,0,SPÓŁDZIELNIA MIESZKANIOWA W GRUDZIĄDZU,http://speedtest.tvksm.pl:8080/speedtest/upload.php
MX,Mexico,5831,,speedtest.hnet.mx:8080,1,73526,205155,20.6752,-103.3473,Guadalajara,0,HURRICANE NETWORKS,http://speedtest.hnet.mx:8080/speedtest/upload.php
MX,Mexico,5833,,speedtest.megacable.com.mx:8080,1,11857,69153,20.6381,-103.3480,Guadalajara,0,Megacable,http://speedtest.megacable.com.mx:8080/speedtest/upload.php
MX,Mexico,5834,,hostdime.speedtest.totalplay.com.mx.prod.hosts.ooklaserver.net:8080,1,36942,98018,20.6719,-103.4165,Guadalajara,0,Totalplay,http://hostdime.speedtest.totalplay.com.mx:8080/speedtest/upload.php
MX,Mexico,5834,,speedtest.guadalajara.bestel.com.mx.prod.hosts.ooklaserver.net:8080,1,17658,33937,20.6719,-103.4165,Guadalajara,0,BESTEL,http://speedtest.guadalajara.bestel.com.mx:8080/speedtest/upload.php
MX,Mexico,5834,,smvel-jal-bandera-1.uninet.net.mx.prod.hosts.ooklaserver.net:8080,1,53961,28,20.6719,-103.4165,Guadalajara,0,INFINITUM,http://smvel-jal-bandera-1.uninet.net.mx:8080/speedtest/upload.php
MX,Mexico,5834,,spt-gdl1.edgeuno.com.prod.hosts.ooklaserver.net:8080,1,25602,300575,20.6719,-103.4165,Guadalajara,0,EdgeUno,http://spt-gdl1.edgeuno.com:8080/speedtest/upload.php
MX,Mexico,5834,,speed1.gdl.attmex.mx:8080,1,7945,147657,20.6719,-103.4165,Guadalajara,0,AT&T México,http://speed1.gdl.attmex.mx:8080/speedtest/upload.php
